sample_version,identificador_boe,selection_category,selection_reason,selection_signals,source_corpus_sha256
1,BOE-B-2024-27101,F,Test a dense combination of energy and land-use authorisations.,PFV; underground line; public information; AAP; AAC; DUP; land-use authorisation,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2024-27103,F,Test several administrative acts in a short announcement.,PFV; evacuation; public information; AAP; AAC; DUP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2026-14192,F,Test a high density of administrative acts and technologies.,BESS; PFV; hybrid installation; evacuation; public information; DIA; AAP; AAC; DUP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2026-19389,F,Test several acts for photovoltaic generation hybridised with wind.,PFV; wind; hybridisation; evacuation; public information; DIA; AAP; AAC,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2026-10729,G,Test the boundary presented by transmission infrastructure without a named plant.,substation; transmission line; DIA; multiple projects,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2021-32561,G,Test a coastal-authorisation document selected by broad candidate signals.,public information; coastal authorisation; mooring buoys,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2022-40998,G,Test a rural-development document selected by broad candidate signals.,irrigation modernisation; public information,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2024-26377,G,Test a lexical battery signal in a military land-use notice.,military batteries; tender; land use,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2025-46888,G,Test the boundary presented by railway electrical infrastructure.,railway substation; tender,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2023-10302,H,Provide an ordinary single-plant authorisation control.,single PFV; evacuation; AAP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2024-16666,H,Provide an ordinary single-wind-farm authorisation control.,single wind farm; evacuation; AAP; AAC,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2025-18286,H,Provide a compact control for an act on infrastructure associated with generation.,DUP; electrical line; substations; referenced PFV,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2026-12701,H,Provide a recent ordinary single-plant authorisation control.,single PFV; evacuation; AAP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
